Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,State,Gender
SK67821,Oregon,,Bachelor,493291.63,37260.0,62.0,1/0/00,Corporate Auto,Four-Door Car,15.437681,,
YV55495,Arizona,,High School or Below,574422.97,68987.0,71.0,1/0/00,Personal Auto,Four-Door Car,204.475147,,
KY38074,California,,Bachelor,1389173.57,42305.0,117.0,1/0/00,Personal Auto,Four-Door Car,561.6,,
DM79012,Oregon,,Master,738097.67,65706.0,91.0,1/0/00,Personal Auto,Four-Door Car,436.8,,
CM61827,Oregon,,Bachelor,309003.41,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0,,
WC35801,Arizona,,High School or Below,252163.31,53243.0,66.0,1/2/00,Personal Auto,Four-Door Car,157.397849,,
QG25316,Nevada,,High School or Below,265206.18,0.0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.318536,,
MB98372,Oregon,,College,277104.5,50071.0,71.0,1/0/00,Corporate Auto,Two-Door Car,18.918935,,
IL19217,California,,Bachelor,393900.64,60021.0,99.0,1/0/00,Personal Auto,Four-Door Car,882.871945,,
SR38658,Arizona,,High School or Below,1223187.97,43244.0,103.0,1/0/00,Personal Auto,Luxury,494.4,,
YD87931,Washington,M,Doctor,495165.61,46896.0,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317,,
HG65722,Oregon,,Doctor,1281910.29,10105.0,172.0,1/3/00,Personal Auto,SUV,0.517753,,
BU27331,Arizona,,Bachelor,446851.05,0.0,73.0,1/3/00,Personal Auto,Four-Door Car,579.165954,,
XM45289,Oregon,,High School or Below,551434.4,23218.0,71.0,1/0/00,Personal Auto,Two-Door Car,447.79344,,
KP34198,California,,Bachelor,334387.53,0.0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.624084,,
SH90947,Arizona,,High School or Below,229447.89,0.0,62.0,1/0/00,Personal Auto,Four-Door Car,313.023175,,
WE95729,Oregon,,College,3670742.64,24804.0,104.0,1/0/00,Personal Auto,SUV,593.830288,,
PY51963,California,,Bachelor,3347334.95,33190.0,106.0,1/0/00,Corporate Auto,SUV,508.8,,
RB69909,Nevada,,High School or Below,798343.17,36014.0,69.0,1/3/00,Special Auto,Four-Door Car,173.956072,,
NW21079,Washington,F,Master,487938.48,67163.0,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803,,
FR46645,California,,Bachelor,429399.73,16701.0,113.0,1/0/00,Personal Auto,Four-Door Car,831.625979,,
SY17488,Arizona,,College,716439.55,46623.0,91.0,1/0/00,Corporate Auto,Four-Door Car,436.8,,
AP67935,California,,College,761951.58,64749.0,64.0,1/0/00,Special Auto,Four-Door Car,302.56519,,
FS37417,Arizona,,High School or Below,395800.28,0.0,101.0,1/0/00,Personal Auto,SUV,484.8,,
ML29312,Oregon,,High School or Below,449949.33,16969.0,124.0,1/2/00,Personal Auto,SUV,704.768111,,
UB61619,Oregon,,Master,405956.74,11621.0,108.0,1/0/00,Personal Auto,Four-Door Car,518.4,,
CD86811,Arizona,,Bachelor,445811.34,17622.0,65.0,1/1/00,Personal Auto,Four-Door Car,312.0,,
RU83859,California,,Bachelor,811033.31,11489.0,105.0,1/0/00,Personal Auto,Two-Door Car,504.0,,
FG63582,Oregon,,Bachelor,333976.49,0.0,94.0,1/0/00,Personal Auto,Two-Door Car,863.327324,,
NN71951,California,,High School or Below,2426101.78,66525.0,100.0,1/0/00,Personal Auto,SUV,104.331355,,
WB37082,Arizona,,Bachelor,661397.37,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,676.391482,,
SM52139,Washington,,College,293069.35,33663.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,,
FL82372,Oregon,,College,867219.43,22547.0,112.0,1/0/00,Corporate Auto,SUV,537.6,,
DP45816,Arizona,,High School or Below,1163866.93,61486.0,97.0,1/0/00,Personal Auto,Two-Door Car,465.258644,,
GW33762,Oregon,,Bachelor,684615.03,0.0,95.0,1/0/00,Personal Auto,Two-Door Car,456.0,,
RZ33670,California,,College,1172777.65,29879.0,102.0,1/0/00,Personal Auto,Four-Door Car,500.254235,,
PY70169,Oregon,,High School or Below,2264383.48,93011.0,113.0,1/0/00,Personal Auto,SUV,281.451042,,
MO91628,Oregon,,Master,261447.43,65186.0,65.0,1/0/00,Personal Auto,Two-Door Car,5.434505,,
HW87852,Oregon,,Master,245175.27,26840.0,64.0,1/2/00,Personal Auto,Four-Door Car,307.2,,
HB20453,Oregon,,Bachelor,678127.02,0.0,104.0,1/1/00,Personal Auto,Luxury,982.399613,,
BN87372,Oregon,,Bachelor,497480.15,75644.0,65.0,1/3/00,Personal Auto,Two-Door Car,467.803638,,
YX23800,Oregon,,Bachelor,859160.49,38984.0,73.0,1/0/00,Personal Auto,Four-Door Car,350.4,,
DZ87709,Oregon,,High School or Below,559216.14,71811.0,71.0,1/0/00,Personal Auto,Four-Door Car,29.03416,,
XW13033,Nevada,,College,800947.28,20961.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
SP81997,Washington,F,Master,,41275.0,96.0,1/0/00,Personal Auto,Four-Door Car,41.122303,,
OM82309,California,,Bachelor,5816655.35,61321.0,186.0,1/1/00,Personal Auto,Luxury,427.63121,,
ZU35962,California,,College,802522.94,0.0,77.0,1/0/00,Personal Auto,Two-Door Car,25.807685,,
VH85817,California,,High School or Below,578018.22,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,,
DT85712,California,,Doctor,411853.91,34378.0,102.0,1/0/00,Personal Auto,SUV,489.6,,
YJ88573,Nevada,,Master,252307.02,43072.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,,
SQ19467,Oregon,,College,655421.64,25222.0,90.0,1/0/00,Personal Auto,Four-Door Car,475.623251,,
YB66933,Washington,F,Bachelor,538275.2,77552.0,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059,,
ET79815,California,,College,592672.94,23091.0,96.0,1/5/00,Personal Auto,Four-Door Car,460.8,,
QC35222,California,,Bachelor,268347.07,48269.0,69.0,1/3/00,Corporate Auto,Four-Door Car,282.151207,,
CJ15590,Oregon,,Bachelor,269518.24,32720.0,67.0,1/0/00,Personal Auto,Four-Door Car,321.6,,
OI48267,California,,College,604702.52,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,,
JY67916,Oregon,,College,1317101.28,21513.0,119.0,1/1/00,Personal Auto,Two-Door Car,679.827592,,
OW15518,Washington,F,College,1595001.95,0.0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452,,
CZ33664,Oregon,,Bachelor,252765.38,80744.0,63.0,1/0/00,Corporate Auto,Four-Door Car,11.879037,,
WK30175,Oregon,,Bachelor,267209.58,52822.0,67.0,1/0/00,Corporate Auto,Two-Door Car,350.529033,,
ON44465,California,,High School or Below,531329.4,0.0,77.0,1/1/00,Personal Auto,Four-Door Car,863.3947,,
TV87155,Oregon,,Bachelor,2094619.25,69738.0,74.0,1/1/00,Personal Auto,Four-Door Car,492.127532,,
KH48895,Arizona,,Master,837535.39,17780.0,109.0,1/0/00,Personal Auto,SUV,132.588288,,
NZ30757,California,,Bachelor,480166.15,18107.0,62.0,1/0/00,Personal Auto,Four-Door Car,297.6,,
RI22468,Arizona,,Bachelor,574594.33,57740.0,74.0,1/3/00,Personal Auto,Four-Door Car,269.905129,,
FZ30935,Oregon,,College,606611.6,32627.0,76.0,1/0/00,Personal Auto,Two-Door Car,380.036697,,
UG93476,California,,College,800230.83,0.0,107.0,1/0/00,Personal Auto,SUV,513.6,,
AB96670,California,,College,239391.54,0.0,70.0,1/0/00,Personal Auto,Four-Door Car,425.266308,,
XK64261,Oregon,,Bachelor,476281.79,65795.0,62.0,1/1/00,Corporate Auto,Two-Door Car,49.011099,,
EV68375,California,,College,433038.6,60475.0,107.0,1/0/00,Personal Auto,Four-Door Car,513.6,,
UN51653,California,,High School or Below,940272.98,0.0,130.0,1/0/00,Personal Auto,SUV,936.0,,
TO96662,Oregon,,Bachelor,696669.45,41837.0,88.0,1/0/00,Personal Auto,Four-Door Car,142.062768,,
MR52087,California,,Bachelor,769406.43,32303.0,65.0,1/0/00,Personal Auto,Four-Door Car,45.152521,,
DE75225,Oregon,,High School or Below,871756.11,0.0,117.0,1/1/00,Personal Auto,SUV,561.6,,
EP80820,California,,Bachelor,592874.85,40531.0,74.0,1/0/00,Personal Auto,Two-Door Car,30.567357,,
GU99037,Oregon,,College,245297.73,79898.0,62.0,1/1/00,Corporate Auto,Four-Door Car,271.606799,,
WI57118,California,,College,670157.17,56398.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,,
GP39118,Washington,M,High School or Below,499655.27,71600.0,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117,,
MQ14219,Arizona,,College,849269.88,27804.0,109.0,1/0/00,Personal Auto,SUV,784.8,,
KN20603,Oregon,,Bachelor,771349.4,45506.0,66.0,1/2/00,Personal Auto,Four-Door Car,316.8,,
SG20925,Washington,F,Master,518579.76,99428.0,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869,,
JI70886,California,,High School or Below,729006.98,0.0,102.0,1/1/00,Corporate Auto,SUV,489.6,,
VF72557,Oregon,,High School or Below,477294.38,20993.0,133.0,1/0/00,Personal Auto,SUV,638.4,,
OX28638,Arizona,,High School or Below,680649.14,37839.0,86.0,1/0/00,Personal Auto,Two-Door Car,465.633954,,
SK55033,California,,Bachelor,246978.13,92711.0,62.0,1/0/00,Personal Auto,Two-Door Car,368.400146,,
OO88645,California,,College,310392.3,74665.0,78.0,1/2/00,Corporate Auto,Four-Door Car,236.902001,,
FM14335,Washington,F,College,1048491.54,61108.0,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117,,
CW82151,California,,Bachelor,890273.76,46833.0,112.0,1/0/00,Personal Auto,Luxury,64.109663,,
DY22043,Oregon,,High School or Below,549944.72,88768.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,,
SH36774,California,,High School or Below,1502359.86,28262.0,192.0,1/0/00,Personal Auto,Luxury,921.6,,
EM43724,Nevada,,Bachelor,250910.79,33555.0,63.0,1/0/00,Personal Auto,Four-Door Car,101.89645,,
FH85960,Oregon,,College,3122174.81,42780.0,113.0,1/1/00,Personal Auto,Four-Door Car,542.4,,
XA55993,Oregon,,Master,313350.34,58850.0,78.0,1/0/00,Personal Auto,Four-Door Car,143.747794,,
GO36627,Arizona,,College,383745.19,21880.0,97.0,1/0/00,Special Auto,Four-Door Car,424.077159,,
QH48047,Oregon,,College,1179049.62,25251.0,66.0,1/0/00,Personal Auto,Four-Door Car,316.8,,
HS28694,Washington,F,High School or Below,282986.39,25317.0,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181,,
UH65059,Arizona,,High School or Below,430580.83,24188.0,109.0,1/0/00,Personal Auto,Luxury,523.2,,
FV21968,Nevada,,Bachelor,597397.69,41611.0,74.0,1/0/00,Special Auto,Four-Door Car,113.801497,,
QA87025,Oregon,,Bachelor,567044.24,28406.0,72.0,1/1/00,Personal Auto,Four-Door Car,192.87572,,
TQ13499,Arizona,,College,473174.93,69833.0,118.0,1/0/00,Personal Auto,Four-Door Car,828.662719,,
BU44523,Arizona,,High School or Below,802637.96,0.0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8,,
MS41162,Arizona,,High School or Below,402296.35,0.0,117.0,1/0/00,Personal Auto,SUV,975.107098,,
PU25891,Oregon,,High School or Below,961831.09,80536.0,119.0,1/0/00,Special Auto,Luxury,53.798708,,
LH92841,Washington,F,Bachelor,725595.38,88891.0,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355,,
SX26335,Oregon,,College,955292.69,97732.0,79.0,1/0/00,Personal Auto,Four-Door Car,289.9122,,
AZ95587,Arizona,F,Bachelor,1038855.32,61222.0,89.0,1/0/00,Special Auto,Four-Door Car,392.604371,,
DS81757,Oregon,M,College,247012.12,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206,,
OJ94107,Arizona,M,Master,561906.85,50335.0,140.0,1/0/00,Personal Auto,SUV,456.52385,,
LP84436,California,F,High School or Below,904711.92,0.0,127.0,1/0/00,Personal Auto,Luxury,1087.995426,,
FF22360,Washington,F,Doctor,268731.41,82210.0,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915,,
LM19287,Oregon,F,High School or Below,373150.46,0.0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8,,
ZU18643,Nevada,M,Bachelor,366077.03,64495.0,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083,,
AZ82578,California,F,College,792882.93,0.0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6,,
XC67861,Arizona,F,Bachelor,501175.16,28859.0,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6,,
YC43143,Arizona,F,High School or Below,798825.83,77330.0,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608,,
EK59571,Oregon,M,College,388545.64,0.0,105.0,1/0/00,Corporate Auto,Four-Door Car,504.0,,
PA38372,Washington,F,High School or Below,935773.78,33060.0,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578,,
RO18530,Washington,M,Master,254068.98,42557.0,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324,,
PD27940,Arizona,M,High School or Below,488516.25,26372.0,126.0,1/0/00,Personal Auto,SUV,604.8,,
BS77946,Arizona,F,Bachelor,975330.71,17514.0,127.0,1/0/00,Personal Auto,SUV,8.312729,,
YM50253,California,F,Bachelor,294615.37,89270.0,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228,,
NR15332,California,M,High School or Below,258111.09,29757.0,65.0,1/0/00,Personal Auto,Four-Door Car,312.0,,
RC62865,Oregon,M,College,351738.58,51814.0,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724,,
CC15295,Oregon,F,Bachelor,974335.01,24028.0,82.0,1/0/00,Personal Auto,Four-Door Car,393.6,,
KA61892,Arizona,M,College,387364.7,28142.0,105.0,1/0/00,Personal Auto,Luxury,701.708239,,
OS94884,Arizona,F,Bachelor,764928.2,52705.0,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563,,
ND87334,California,M,High School or Below,228759.69,0.0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378,,
OY51402,Washington,F,High School or Below,825576.39,54040.0,103.0,1/0/00,Personal Auto,SUV,59.987126,,
YL74911,California,F,College,871492.21,0.0,118.0,1/0/00,Personal Auto,SUV,566.4,,
GK92563,Washington,F,Doctor,681923.12,22492.0,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262,,
HL53154,California,M,Bachelor,741619.73,0.0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4,,
RI78966,Oregon,M,Master,777115.9,21876.0,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477,,
IC13702,California,F,Bachelor,696834.19,0.0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8,,
BE10809,California,F,High School or Below,425028.26,0.0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8,,
HT87217,Oregon,F,High School or Below,1977656.65,70699.0,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837,,
TH95618,California,F,High School or Below,2134346.6,0.0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2,,
TS19868,California,M,College,241313.97,27501.0,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401,,
LP45550,Oregon,F,Doctor,1536384.72,15897.0,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399,,
QR87004,Nevada,F,College,845696.19,25141.0,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063,,
OE75747,Nevada,F,College,218964.25,0.0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8,,
DX91392,California,M,High School or Below,578018.22,51066.0,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313,,
AB72731,California,F,Bachelor,463998.16,28358.0,117.0,1/0/00,Personal Auto,Luxury,84.024413,,
GX84338,Washington,F,Doctor,382443.13,62530.0,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771,,
IS12901,Arizona,F,Bachelor,596811.89,90972.0,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145,,
BN90616,Washington,F,Bachelor,859033.5,63110.0,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721,,
HH90090,California,F,Bachelor,407663.47,29549.0,104.0,1/0/00,Personal Auto,Luxury,710.433775,,
IU25463,California,F,Bachelor,1225260.18,0.0,115.0,1/1/00,Personal Auto,Four-Door Car,552.0,,
KC11055,Nevada,F,Bachelor,1693627.15,39411.0,217.0,1/2/00,Personal Auto,Luxury,1122.658899,,
PD33979,Oregon,M,High School or Below,489243.55,21709.0,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746,,
NK71023,Nevada,M,Bachelor,994230.48,67890.0,85.0,1/0/00,Personal Auto,Four-Door Car,408.0,,
AB13432,California,M,Bachelor,373583.81,0.0,110.0,1/0/00,Personal Auto,SUV,792.0,,
OZ97704,California,F,High School or Below,1311752.22,84311.0,111.0,1/4/00,Personal Auto,SUV,532.8,,
UF46533,California,F,College,457452.41,99316.0,114.0,1/0/00,Corporate Auto,SUV,754.358929,,
XP47431,Arizona,F,Bachelor,547006.06,54507.0,138.0,1/0/00,Personal Auto,SUV,702.990032,,
GK73582,California,F,Bachelor,297884.6,64586.0,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111,,
RV98763,Oregon,M,College,641096.75,61709.0,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894,,
II62831,California,M,Master,447902.31,94656.0,111.0,1/1/00,Special Auto,SUV,459.738128,,
XK33449,California,F,High School or Below,238373.19,0.0,69.0,1/0/00,Special Auto,Two-Door Car,496.8,,
TR85083,California,M,Bachelor,276449.37,61085.0,70.0,1/1/00,Personal Auto,Two-Door Car,336.0,,
EO95328,Oregon,F,Bachelor,792010.54,89284.0,67.0,1/3/00,Personal Auto,Two-Door Car,321.6,,
EN21086,Arizona,F,High School or Below,688909.8,0.0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4,,
YL83902,Washington,F,Bachelor,327419.46,31686.0,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107,,
AZ62651,Oregon,M,High School or Below,995170.77,56855.0,255.0,1/0/00,Corporate Auto,Luxury,1836.0,,
ZW25874,Oregon,M,Bachelor,252155.57,53703.0,67.0,1/2/00,Special Auto,Four-Door Car,67.632476,,
EH41854,Washington,F,High School or Below,2370611.34,0.0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918,,
MW70227,California,M,College,604702.52,20396.0,76.0,1/1/00,Personal Auto,Four-Door Car,364.8,,
SL22297,California,F,Master,1114030.25,27679.0,150.0,1/0/00,Personal Auto,SUV,722.486994,,
RV14138,Nevada,F,Bachelor,433406.41,23904.0,123.0,1/3/00,Personal Auto,SUV,590.4,,
UO62808,Arizona,F,High School or Below,279974.79,65351.0,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516,,
ZX64745,California,M,College,792313.66,0.0,113.0,1/0/00,Personal Auto,SUV,1124.427734,,
FL34139,California,M,High School or Below,368811.09,0.0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001,,
TS11219,California,M,College,1206745.6,0.0,116.0,1/0/00,Personal Auto,SUV,1284.093173,,
XX12304,California,F,College,292497.67,64459.0,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479,,
SD64087,California,M,College,1501409.27,32961.0,190.0,1/0/00,Corporate Auto,SUV,912.0,,
OY38576,Oregon,F,High School or Below,927723.38,71416.0,116.0,1/0/00,Corporate Auto,SUV,556.8,,
BG76355,Washington,F,Bachelor,627412.39,68964.0,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827,,
IP66913,California,M,High School or Below,388664.74,78108.0,98.0,1/0/00,Personal Auto,Two-Door Car,470.4,,
LE95702,California,M,College,438627.76,10621.0,67.0,1/0/00,Special Auto,Four-Door Car,321.6,,
KX54357,Washington,M,College,1136526.77,84910.0,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471,,
EZ78112,California,F,High School or Below,561096.43,77493.0,70.0,1/0/00,Special Auto,Four-Door Car,307.963291,,
XN16891,Arizona,M,College,291289.2,81097.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,,
XK31350,Oregon,F,College,691572.99,96610.0,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752,,
CC30924,Oregon,M,College,626266.33,30110.0,159.0,1/0/00,Corporate Auto,Luxury,466.436375,,
IT78748,Oregon,F,High School or Below,650339.7,22081.0,84.0,1/0/00,Special Auto,Two-Door Car,451.670309,,
KY33386,Washington,F,High School or Below,800739.94,0.0,112.0,1/0/00,Personal Auto,Luxury,537.6,,
CO44221,California,M,College,292991.65,98473.0,72.0,1/0/00,Personal Auto,Four-Door Car,345.6,,
LK60013,Oregon,F,Bachelor,596955.3,97431.0,74.0,1/0/00,Personal Auto,Four-Door Car,355.2,,
DE21533,California,M,Bachelor,547315.99,93870.0,69.0,1/0/00,Personal Auto,Four-Door Car,331.2,,
YS94121,Nevada,M,High School or Below,564539.67,50366.0,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656,,
UK68427,Washington,M,High School or Below,636926.24,34498.0,83.0,1/0/00,Personal Auto,Two-Door Car,398.4,,
TE49565,Oregon,F,College,1183376.73,16552.0,103.0,1/0/00,Personal Auto,SUV,494.4,,
RA88421,Oregon,F,College,612110.79,26787.0,77.0,1/0/00,Personal Auto,Four-Door Car,369.6,,
KQ51983,Nevada,M,College,515936.97,0.0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839,,
CD88896,Nevada,F,High School or Below,251459.2,43860.0,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914,,
YV22553,Arizona,M,High School or Below,866861.13,21474.0,114.0,1/2/00,Corporate Auto,SUV,373.428187,,
WU14435,California,M,Bachelor,496096.54,18174.0,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815,,
XV84099,Arizona,F,Bachelor,550413.9,0.0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4,,
RI24911,Arizona,M,College,750745.54,60920.0,64.0,1/0/00,Personal Auto,Two-Door Car,231.201886,,
KO26461,Arizona,M,High School or Below,3226985.14,41520.0,90.0,1/0/00,Personal Auto,Four-Door Car,289.904105,,
HI14283,Oregon,F,Bachelor,565703.16,0.0,152.0,1/0/00,Personal Auto,SUV,729.6,,
PT50227,Arizona,M,High School or Below,506175.79,0.0,68.0,1/0/00,Personal Auto,Two-Door Car,326.4,,
BH36570,California,M,Bachelor,591278.38,72208.0,73.0,1/0/00,Personal Auto,Two-Door Car,350.4,,
TX17484,California,F,Bachelor,1518227.98,53863.0,63.0,1/0/00,Personal Auto,Four-Door Car,105.765111,,
CT41158,Washington,M,College,1074703.09,66446.0,136.0,1/0/00,Corporate Auto,SUV,639.464548,,
AO87348,Washington,M,College,205062.35,0.0,61.0,1/0/00,Personal Auto,Four-Door Car,292.8,,
DE55857,Washington,F,Bachelor,246544.49,64997.0,63.0,1/1/00,Personal Auto,Four-Door Car,383.442328,,
LF66923,Nevada,F,High School or Below,534312.13,64460.0,66.0,1/0/00,Corporate Auto,Two-Door Car,316.8,,
CN24514,Arizona,F,College,811982.91,46618.0,67.0,1/0/00,Personal Auto,Four-Door Car,99.085943,,
UW32074,Oregon,F,College,460526.52,0.0,64.0,1/0/00,Corporate Auto,Four-Door Car,307.2,,
HP36979,California,M,College,640878.56,49988.0,84.0,1/5/00,Personal Auto,Two-Door Car,566.935022,,
PP40919,California,F,College,237653.35,0.0,91.0,1/5/00,Personal Auto,Two-Door Car,436.8,,
RO73268,California,M,Bachelor,321107.0,16269.0,86.0,1/0/00,Corporate Auto,Two-Door Car,412.8,,
HO61691,Arizona,F,Bachelor,509452.23,72006.0,64.0,1/0/00,Personal Auto,Four-Door Car,307.2,,
